GOLD Project ID,Project Name,Project Status,Add Date,Sequencing Strategy
Gp0885444 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_001-O-21-20240708-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885453 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_001-O-21-20241021-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885435 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_001-O-23-20240417-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885436 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_002-O-41-20240423-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885445 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_002-O-41-20240710-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885454 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_002-O-41-20241017-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885446 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_004-O-39-20240709-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885455 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_004-O-39-20241016-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885437 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_004-O-41-20240417-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885447 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_005-O-21-20240710-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885438 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_005-O-23-20240423-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885456 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_005-O-23-20241017-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885439 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_021-O-41-20240423-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885448 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_021-O-41-20240709-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885457 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_021-O-41-20241021-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885440 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_033-O-23-20240415-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885449 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_033-O-23-20240701-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885458 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_033-O-23-20241015-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885441 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_034-O-21-20240415-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885450 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_034-O-21-20240701-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885459 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_034-O-21-20241015-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
Gp0885442 ,"Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_035-O-23-20240415-GEN-DNA1 ",Incomplete ,2025-10-24,Metagenome
